approval_number,predicate_number,sample_size,num_sites,significance,severity,risk_level,body_area,modality,keywords,indications_for_use,inc_exc_criteria,has_demographics,is_prospective,subtype_analysis,image_acquisition,device_classification_name,device_name,applicant_name,applicant_contact,correspondent_name,regulation_number,classification_product_code,date_received,decision_date,decision,regulation_medical_specialty,review_panel,summary_link,type,reviewed_by_third_party,combination_product,classification_advisory,review_advisory,reclass_link
den170022,,111,nan,1,2,3,Breast,MR,machine learning;artificial intelligence,,1,1,0,1,,computer-assisted diagnostic software for lesions suspicious for cancer,quantx,"quantitative insights, inc 1452 e 53rd st   chicago,   il   60615",,,892.206,pok,4/7/17,7/19/17,granted     (deng),,,http://www.accessdata.fda.gov/cdrh_docs/reviews/den170022.pdf,direct,,,radiology,radiology,reclassification order
den170043,,15,4,1,1,2,Insulin,,,"DreaMed Advisor Pro is a decision-support software intended for assisting healthcare professionals in the management of patients with Type 1 diabetes who: • use insulin pumps as their insulin delivery therapy; • monitor their glucose levels using either of the following: o CGM, or o CGM and self-management blood glucose meter • are above the age of 6 and under 65 years old; and • use rapid acting U-100 insulin analogs in their pump DreaMed Advisor Pro is indicated for use by healthcare professionals when analyzing continuous glucose monitoring (CGM), self-monitoring blood glucose (SMBG) and pump data to generate recommendations for optimizing a patient’s insulin pump settings for basal rate, carbohydrate ratio (CR), and correction factor (CF); without considering the full clinical status of a particular patient. DreaMed Advisor Pro does not replace clinical judgment.",1,0,0,0,,insulin pump therapy adjustment calculator for healthcare professionals,dreamed advisor pro,"dreamed diabetes, ltd. 3 shimshon st.   petah tikva, pob 3271,          il     4952701",,,862.1358,qcc,8/17/17,6/12/18,granted     (deng),,,http://www.accessdata.fda.gov/cdrh_docs/reviews/den170043.pdf,direct,,,clinical chemistry,clinical chemistry,reclassification order
den170073,,300,2,1,2,3,Head,CT,artificial intelligence,,1,0,0,0,slice thickness,radiological computer-assisted triage and notification software,contact,"viz.al, inc. 343 texas st.   san francisco,   ca   94301",,,892.208,qas,9/29/17,2/13/18,granted     (deng),,,http://www.accessdata.fda.gov/cdrh_docs/reviews/den170073.pdf,direct,,,radiology,radiology,reclassification order
den180001,,900,10,2,1,3,Eye,Retina,artificial intelligence,IDx-DR is indicated for use by health care providers to automatically detect more than mild diabetic retinopathy (mtmDR) in adults diagnosed with diabetes who have not been previously diagnosed with diabetic retinopathy. IDx-DR is indicated for use with the Topcon NW400.,0,1,0,1,,diabetic retinopathy detection device,idx-dr,"idx, llc 458 highway 1 west   iowa city,   ia   52246",,,886.11,pib,1/12/18,4/11/18,granted     (deng),,,http://www.accessdata.fda.gov/cdrh_docs/reviews/den180001.pdf,direct,,,ophthalmic,ophthalmic,reclassification order
den180005,,200,nan,2,1,3,Wrist,X-Ray,deep learning;machine learning,,1,1,0,0,vendors|contrast|presence of a cast,radiological computer assisted detection/diagnosis software for fracture,osteodetect,"imagen technologies, inc. 33 east 33rd street, suite 506   new york,   ny   10016",,,892.209,qbs,2/5/18,5/24/18,granted     (deng),,,http://www.accessdata.fda.gov/cdrh_docs/reviews/den180005.pdf,direct,,,radiology,radiology,reclassification order
den190040,,50,nan,1,1,2,Multiple,Ultrasound,deep learning;artificial intelligence,,0,0,1,1,,image acquisition and/or optimization guided by artificial intelligence,caption guidance,"bay labs, inc. 290 king street   san francisco,   ca   94107",,,892.21,qju,8/27/19,2/7/20,granted     (deng),,,http://www.accessdata.fda.gov/cdrh_docs/reviews/den190040.pdf,direct,,,radiology,radiology,reclassification order
k173744,k041286,900,nan,2,2,4,Breast,US,,"ProFuse CAD is a post-processing software tool intended for viewing, analyzing, reviewing and reporting imaging files such as Magnetic Resonance Imaging (MRI), Computed Tomography (CT) and Positron Emission Tomography (PET) studies.",0,1,0,0,,"System, Image Processing, Radiological",profuse cad,william mandel,william mandel,william mandel,892.205,llz,12/7/17,11/21/18,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf17/K173744.pdf,traditional,no,no,,,
k161201,k092363;k143196;k093621,nan,nan,1,1,2,Chest,CT,,clearread ct is comprised of computer assisted reading tools designed to aid the radiologist in the detection of pulmonary nodules during review of ct examinations of the chest on an asymptomatic population the clearread ct requires both lungs be in the field of view clearread ct provides adjunctive information and is not intended to be used without the original ct series,0,0,0,0,,"lung computed tomography system, computer-aided detection",clearread ct,jennifer  butsch,jennifer  butsch,jennifer  butsch,892.205,oeb,4/28/16,9/9/16,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf16/k161201.pdf,traditional,no,no,,,
k161959,k050846,1204,nan,1,2,3,Breast,Ultrasound,,"ClearView cCAD is a software application designed to assist skilled physicians in analyzing breast ultrasound images. ClearView cCAD automatically classifies shape and orientation characteristics of user-selected regions of interest (ROIs). The software allows the user to annotate, tag, measure, and automatically record and/or store selected views. The software also automatically generates reports from user inputs annotated during the image analysis process as well as the automatically generated characteristics. The output of this system will be a DICOM compatible (e.g. grayscale softcopy presentation state (GSPS)) and/or PDF report that can be sent along with the original image to standard film or paper printers or sent electronically to an intranet webserver or other DICOM compatible device. cCAD includes options to annotate and describe the image based on the ACR BIRADS® Breast Imaging Atlas. In addition, the report form has been designed to support compliance with the ACR BI-RADS ® Ultrasound Lexicon Classification Form. When interpreted by a skilled physician, this device provides information that may be useful in screening and diagnosis. Patient management decision should not be made solely on the results of the cCAD analysis. The ultrasound images displayed on cCAD must not be used for primary diagnostic interpretation.",0,0,0,0,,"system, image processing, radiological",clearview ccad,christine  podilchuk,christine  podilchuk,christine  podilchuk,892.205,llz,7/18/16,12/28/16,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf16/k161959.pdf,traditional,no,no,,,
k162830,k050438;k140828;k081512,68,nan,1,1,2,Brain,MR,machine learning,sis software is an application intended for use in the viewing presentation and documentation of medical imaging including different modules for image processing image fusion and intraoperative functional planning where the 3d output can be used with stereotactic image guided surgery or other devices for further processing and visualization the device can be used in conjunction with other clinical methods as an aid in visualization of the subthalamic nuclei stn typical users of the sis software are medical professionals including but not limited to surgeons neurologists and radiologists,0,0,0,,,"system, image processing, radiological",sis software,mark  headrick,mark  headrick,janice m. hogan,892.205,llz,10/7/16,2/14/17,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf16/k162830.pdf,traditional,no,no,,,
