,title,pdf_link,approval_number,company,indications_for_use,product_code,body_area,modality,predicate,performance,validation,related_use_cases,date_cleared
0,Accipiolx,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K201310.pdf,K201310,MaxQ AI Ltd.,AccipioIx is a software workflow tool designed to aid in prioritizing the clinical assessment of adult non-contrast head CT cases with features suggestive of acute intracranial hemorrhage in the acute care environment. AccipioIx analyzes cases using an artificial intelligence algorithm to identify suspected findings. It makes case-level output available to a PACS/workstation for worklist prioritization or triage.,QAS,Head,CT,Accipiolx,"Verification, Validation and Performance Testing was completed",MaxQ-AI conducted a retrospective study to test the clinical performance of Accipiolx in processing non-contrast head CT cases with a high or low probability of ICH. Analysis of 360 newly tested cases collected from multiple sites across 17 US states.,None,8/7/2020
1,ADAS 3D,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K191125.pdf,K191125,Galgo Medical S.L,ADAS 3D is indicated for use in clinical settings to support the visualization and analysis of MR and CT images of the heart for use on individual patients with cardiovascular disease.,LLZ,Heart,"MR,CT",Mr-CT VVA,"The device has been designed, developed, tested, verified and validated according to documented procedures and specific protocols in line with the FDA guidance documents. 
It was tested and validated with synthetic and phantom data.",None,None,1/15/2020
2,Aidoc BriefCase - iPE Triage,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K201020.pdf,K201020,"Aidoc Medical, Ltd.",BriefCase is a radiological computer aided triage and notification software indicated foruse in the analysis of CTPA images. The device is intended to assist hospital networks and trained radiologists in workflow triage by flagging and communication of suspected positive findings of Pulmonary Embolism (PE) path. BriefCase uses an artificial intelligence algorithm to analyze images and highlight cases with detected findings on a standalone desktop application in parallel to the ongoing standard of care image interpretation.,QAS,Chest,CT,BriefCase for PE,"Verification, validation, and standalone performance testing was completed","Evaluate the software’s performance in identifying Contrast-enhanced chest CTs (but not dedicated CTPA protocol), containing Incidental Pulmonary Embolism in 268 cases from 2 clinical study sites in the US. There were 74 positive cases and 194 negative cases (images with iPE versus without iPE) included in the analysis.",None,08/26/2020
3,Aidoc BriefCase- CSF,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K190896.pdf,K190896,"Aidoc Medical, Ltd",BriefCase is a radiological computer aided triage and notification software indicated for use in the analysis of cervical spine on CT images. The device is intended to assist hospital networks and trained radiologists in workflow triage by flagging and communication of suspected positive findings of linear lucencies in the cervical spine bone in patterns compatible with fractures.,QAS,Cervical Spine,CT,"BriefCase (K180647, for ICH triage)",None,"Aidoc conducted a retrospective, blinded, multicenter, multinational study with the BriefCase software with the primary endpoint to evaluate the software's performance in identifying CT's containing cervical spine fracture in 186 cases from 3 clinical sites. Sensitivity and specificity exceeded the 80% performance goal. Sensitivity was 91.7% and specificity was 88.6%. A secondary endpoint, is the software's clinical benefit of worklist prioritization for true positive CSF cases. The BriefCase time -to-notification for CSF was 3.9 minutes in contrast to the standard of care time-to-exam-open was 58.4 minutes.",None,5/31/2019
4,Aidoc Briefcase- ICH and PE triage,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K190072.pdf,K190072,"Aidoc Medical, Ltd","BriefCase is a radiological computer aided triage and notification software indicated for use in the analysis of non-enhanced CT and CTPA images. The device is intended to assist hospital networks and trained radiologists in workflow triage by flagging and communication of suspected positive findings of Intracranial Hemorrhage and Pulmonary Embolism pathologies. For the PE pathology, the software is only intended to be used on single-energy exams.",QAS,Head and Chest,"CT, CTPA","BriefCase (K180647, for ICH triage)","Aidoc conducted a retrospective, blinded, multicenter, multinational study with the BriefCase software with the primary endpoint to evaluate the software's performance in identifying CTPAs containing pulmonary embolism in 184 cases from 3 clinical sites. Sensitivity and specificity exceeded the 80% performance goal. Specifically, sensitivity was observed to be 90.6% and specificity was observed to be 89.9%. A secondary endpoint measure was Briefcase's potential clinical benefit of worklist prioritization for true positive PE cases. The BriefCase time-to-notification for PE was 3.9 minutes, while the standard of care time-to-exam-open was 64.1 minutes.","The company conducted a retrospective evaluation of 2,803 CT pulmonary angiogram (CTPA) exams of patients with suspected PE, from a single center. The goal of this study was primarily to demonstrate that the BriefCase software can identify PE with high accuracy. Ground truth was determined by a review of a single radiologist and the radiology report. Another radiologist was used to break ties between the report and the reviewer. Sensitivity was 93.0% and specificity was 93.7%.",Pulmonary Embolism,4/15/2019
5,Aidoc BriefCase- LVO,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K192383.pdf,K192383,"Aidoc Medical, Ltd.      ",BriefCase is a radiological computer aided triage and notification software indicated for use in the analysis of head CTA images. The device is intended to assist hospital networks and trained radiologists in workflow triage by flagging and communication of suspected positive findings of Large Vessel Occlusion (LVO) pathologies.,QAS,Head,CTA,"BriefCase, ContaCT",None,"Aidoc conducted a retrospective, blinded, multicenter, study with the BriefCase software to evaluate the software's performance in identifying head CTA images containing Large Vessel Occlusion (LVO) in 383 cases from 3 US-based clinical sites.",None,12/20/2019
6,Aidoc BriefCase-ICH,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K180647.pdf,K180647,"Aidoc Medical, Ltd","BriefCase is a radiological computer aided triage and notification software indicated for use in the analysis of non-enhanced head CT images. The device is intended to assist hospital networks and trained radiologists in workflow triage by flagging and communication of suspected positive findings of pathologies in head CT images, namely Intracranial Hemorrhage (ICH).",QAS,Head,CT,Viz.AI’s ContaCT (DEN170073),None,"Aidoc conducted a retrospective, blinded, multicenter, multinational study with BriefCase software with the primary endpoint to evaluate the software’s performance in identifying non contrast CT head images containing ICH findings in 1198 cases form 3 clinical sites. Sensitivity and specificity exceeded the 80 % performance goal. Sensitivity was observed to be 93.6% and specificity was observed to be 92.3%. A secondary endpoint measure was Briefcase’s potential clinical benefit of worklist prioritization for true positive ICH cases. The standard of care time-to-exam-open is 72.6 minutes. With BriefCase software the time-to-notification is 4.46 minutes.",None,8/1/2018
7,Aidoc BriefCase-IFG,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193298.pdf,K193298,"Aidoc Medical, Ltd.","BriefCase is a radiological computer aided triage and notification software indicated for use in the analysis of abdominal CT images. The device is intended to assist hospital networks and trained radiologists in workflow triage by flagging and communication of suspected positive findings of Intra-abdominal free gas (IFG) pathologies.
BriefCase uses an artificial intelligence algorithm to analyze images and highlight cases with detected findings on a standalone desktop application in parallel to the ongoing standard of care image interpretation. The user is presented with notifications for cases with suspected findings.",QAS,Abdomen,CT,BriefCase for ICH,None,"Aidoc conducted a retrospective, blinded, multicenter, multinational study with the BriefCase software with the primary endpoint to evaluate the software's performance in identifying abdominal CTs containing Intra-abdominal Free Gas.",None,6/19/2020
8,AIMI-Triage CXR PTX,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193300.pdf,K193300,"RadLogics, Inc.           ","The AIMI-Triage CXR PTX Application is a notification-only triage workflow toll for use by hospital networks and clinics to identify and help prioritize chest X-rays acquired in the acute setting for review by hospital radiologists. Specifically, the device uses an artificial intelligence algorithm to analyze images for features suggestive of moderate to large sized pneumothorax; it makes case-level output available to a PACS/workstation for worklist prioritization or triage.",QFM,Chest,X-Ray,HealthPNX,None,"The AIMI-Triage CXR PTX was evaluated and verified in a blinded, retrospective and multi-center study for detecting pneumothorax in chest X-rays. A total of 300 frontal chest X-rays were collected from US and OUS patients representative of the intended population. The AIMI-Triage CXR PTX output was compared to the ground truth established by 3 independent US-board certified radiologists.",Pneumothorax,4/8/2020
9,AI-Rad Companion Brain MR,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193290.pdf,K193290,"Siemens Medical Solutions USA, Inc.","Post-processing image analysis software that assists clinicians in viewing, analyzing and evaluating MR brain images. Functionalities include: automatic segmentation and quantitative analysis of individual brain structures, quantitative comparison of each brain structure with normative data from a healthy population, and presentation of results for reporting that includes all numerical values as well as visualization of these results.",LLZ,Head,MR,Syngo.MR Applications,"Software validations, bench testing, and clinical data-based software validations have been conducted to the performance claims as well as the claim of substantial equivalence to the predicate devices.",None.,None,6/17/2020
