,Name of device or algorithm,Name of parent company,Short description,FDA approval number,Type of FDA approval,Mention of A.I. in announcement,If no mention of A.I. in FDA announcement,Date,Medical specialty,Secondary medical specialty
0,Arterys Cardio DL,Arterys Inc,software analyzing cardiovascular images from MR,K163253,510(k) premarket notification,deep learning,,2016 11,Radiology,Cardiology
1,EnsoSleep,"EnsoData, Inc",diagnosis of sleep disorders,K162627,510(k) premarket notification,automated algorithm,,2017 03,Neurology,
2,Arterys Oncology DL,Arterys Inc,medical diagnostic application,K173542,510(k) premarket notification,deep learning,,2017 11,Radiology,Oncology
3,Idx,IDx LLC,detection of diabetic retinopathy,DEN180001,de novo pathway,A.I.,,2018 01,Ophthalmology,
4,ContaCT,Viz.AI,stroke detection on CT,DEN170073,de novo pathway,A.I.,,2018 02,Radiology,Neurology
5,OsteoDetect,"Imagen Technologies, Inc.",X-ray wrist fracture diagnosis,DEN180005,de novo pathway,deep learning,,2018 02,Radiology,Emergency medicine
6,Guardian Connect System,Medtronic,predicting blood glucose changes,P160007,PMA,A.I.,,2018 03,Endocrinology,
7,EchoMD Automated Ejection Fraction Software,"Bay Labs, Inc.",echocardiogram analysis,K173780,510(k) premarket notification,machine learning,,2018 05,Radiology,Cardiology
8,DreaMed,"DreaMed Diabetes, Ltd",managing Type 1 diabetes.,DEN170043,de novo pathway,A.I.,,2018 06,Endocrinology,
9,LungQ,Thirona Corporation,Quantitative analysis of chest CT scans,K173821,PMA,Not available,https://bit.ly/2EkHTCM,2018 06,Radiology,Pulmonology
10,BriefCase,"Aidoc Medical, Ltd.",triage and diagnosis of time sensitive patients,K180647,510(k) premarket notification,deep learning,,2018 07,Radiology,Emergency medicine
11,ProFound™ AI Software V2.1,"iCAD, Inc",breast density via mammogprahy,K191994,510(k) premarket notification,deep learning,,2018 07,Radiology,Oncology
12,SubtlePET,"Subtle Medical, Inc",radiology image processing software,K182336,510(k) premarket notification,deep neural network-based algorithm,,2018 09,Radiology,
13,Arterys MICA,Arterys Inc,Liver and lung cancer diagnosis on CT and MRI,K182034,510(k) premarket notification,A.I.,,2018 08,Radiology,Oncology
14,AI-ECG Platform,"Shenzhen Carewell Electronics., Ltd",ECG analysis support,K180432,510(k) premarket notification,AI-ECG,,2018 09,Cardiology,
